Ref,Val,Package,PosX,PosY,Rot,Side
"D8","SK6812MINI-E","MX_SK6812MINI-E",151.487500,-79.972501,0.000000,top
"D9","SK6812MINI-E","MX_SK6812MINI-E",170.656250,-79.916251,0.000000,top
"D10","SK6812MINI-E","MX_SK6812MINI-E",189.706250,-79.916251,0.000000,top
"D11","SK6812MINI-E","MX_SK6812MINI-E",151.487500,-98.972501,0.000000,top
"D12","SK6812MINI-E","MX_SK6812MINI-E",170.656250,-98.966251,0.000000,top
"D13","SK6812MINI-E","MX_SK6812MINI-E",189.687500,-98.872501,0.000000,top
"Ref**","Val**","jjkpdlogo",191.600000,-115.200000,0.000000,top
"S1","Keyswitch","Hotswap_MX_1.00u",151.606250,-80.168750,0.000000,top
"S2","Keyswitch","Hotswap_MX_1.00u",151.606250,-99.218750,0.000000,top
"S3","Keyswitch","Hotswap_MX_1.00u",170.656250,-80.168750,0.000000,top
"S4","Keyswitch","Hotswap_MX_1.00u",170.656250,-99.218750,0.000000,top
"S5","Keyswitch","Hotswap_MX_1.00u",189.706250,-80.168750,0.000000,top
"S6","Keyswitch","Hotswap_MX_1.00u",189.706250,-99.218750,0.000000,top
